"num_item_id","definition","type","category","8","9","10","11","12","13","14","15","16","17","18"
1,"respname","first_signs",NA,0,0,0,0,0,0,0,0,0,0,0
2,"respno","first_signs",NA,0,0,0,0,0,0,0,0,0,0,0
3,"reactmd","first_signs",NA,0,0,0,0,0,0,0,0,0,0,0
4,"arehngry","phrases",NA,0.37,0.29,0.29,0.4,0.48,0.64,0.58,0.68,0.88,0.83,0.87
5,"aretired","phrases",NA,0.17,0.27,0.21,0.39,0.39,0.53,0.55,0.64,0.82,0.75,0.79
6,"becarefl","phrases",NA,0.06,0.19,0.21,0.36,0.39,0.56,0.52,0.54,0.79,0.7,0.81
7,"bequiet","phrases",NA,0.03,0.07,0.15,0.12,0.24,0.27,0.3,0.36,0.54,0.55,0.58
8,"claphand","phrases",NA,0.26,0.34,0.54,0.69,0.82,0.85,0.78,0.79,0.92,0.93,0.95
9,"cgdiaper","phrases",NA,0.37,0.36,0.35,0.47,0.52,0.68,0.62,0.76,0.94,0.96,0.93
10,"comehere","phrases",NA,0.69,0.6,0.71,0.86,0.94,0.94,0.85,0.88,0.98,0.97,0.95
11,"mdhome","phrases",NA,0.77,0.7,0.68,0.8,0.85,0.93,0.78,0.88,0.98,0.96,0.99
12,"wantmore","phrases",NA,0.43,0.32,0.25,0.47,0.51,0.67,0.56,0.67,0.91,0.89,0.92
13,"dontdo","phrases",NA,0.17,0.35,0.46,0.59,0.65,0.69,0.69,0.7,0.86,0.82,0.85
14,"dontouch","phrases",NA,0.29,0.35,0.46,0.55,0.68,0.7,0.68,0.79,0.9,0.9,0.85
15,"getup","phrases",NA,0.23,0.2,0.2,0.24,0.37,0.49,0.52,0.55,0.78,0.73,0.77
16,"givemom","phrases",NA,0.09,0.23,0.35,0.64,0.73,0.88,0.8,0.88,0.97,0.98,0.99
17,"givehug","phrases",NA,0.2,0.16,0.26,0.4,0.5,0.65,0.58,0.73,0.9,0.87,0.94
18,"givekiss","phrases",NA,0.2,0.3,0.46,0.59,0.64,0.76,0.72,0.83,0.95,0.94,0.96
19,"goget","phrases",NA,0.03,0.14,0.19,0.32,0.48,0.68,0.64,0.77,0.95,0.91,0.93
20,"goodgb","phrases",NA,0.23,0.43,0.48,0.69,0.7,0.76,0.73,0.8,0.88,0.85,0.86
21,"holdstil","phrases",NA,0.11,0.1,0.17,0.14,0.15,0.3,0.31,0.35,0.55,0.49,0.55
22,"gobyebye","phrases",NA,0.31,0.44,0.48,0.71,0.74,0.82,0.77,0.88,0.97,0.96,1
23,"lookhere","phrases",NA,0.51,0.39,0.5,0.61,0.72,0.78,0.72,0.75,0.93,0.94,0.88
24,"openmth","phrases",NA,0.34,0.21,0.3,0.38,0.39,0.51,0.51,0.58,0.77,0.79,0.8
25,"sitdown","phrases",NA,0.14,0.14,0.21,0.37,0.48,0.64,0.58,0.76,0.93,0.93,0.93
26,"spitout","phrases",NA,0.09,0.14,0.09,0.22,0.34,0.43,0.48,0.58,0.72,0.65,0.73
27,"stopit","phrases",NA,0.23,0.3,0.35,0.37,0.55,0.59,0.58,0.69,0.83,0.8,0.79
28,"gonight","phrases",NA,0.26,0.33,0.35,0.45,0.61,0.69,0.72,0.77,0.92,0.96,0.92
29,"throwbll","phrases",NA,0.17,0.3,0.27,0.61,0.67,0.87,0.72,0.78,0.97,0.96,0.94
30,"litpiggy","phrases",NA,0.14,0.14,0.15,0.3,0.31,0.41,0.35,0.4,0.62,0.56,0.62
31,"wantride","phrases",NA,0.17,0.14,0.12,0.17,0.31,0.41,0.42,0.5,0.73,0.7,0.74
32,"imitate","starting_to_talk",NA,0,0,0,0,0,0,0,0,0,0,0
33,"label","starting_to_talk",NA,0,0,0,0,0,0,0,0,0,0,0
34,"baa baa","word","sounds",0.34,0.29,0.46,0.45,0.48,0.45,0.62,0.5,0.68,0.75,0.74
