word,aop,aoc
a,26.5856745264479,NA
lot,28.6007319116786,NA
about,32.4225454524137,NA
above,32.9621180973598,NA
after,29.1598353518686,NA
airplane,19.7185478248483,14.7246181400729
all,26.1053548734787,20.8493156543555
gone,18.5936325595499,10.0474353866451
alligator,24.9842584889182,NA
am,28.6992706272526,NA
an,33.9721723977551,NA
and,26.7871524630838,NA
animal,23.792374911113,17.3959270180847
ankle,29.9118344699747,NA
another,27.8895965389195,19.6358908864612
ant,24.2716003379577,NA
any,29.2532722484839,NA
apple,18.0221492829527,14.321790988909
applesauce,24.8479317916684,NA
are,29.3269990013212,NA
arm,21.3544292171091,16.1371095076368
around,29.6044416845676,NA
asleep,24.263497833335,16.9363843752817
at,28.0773187356087,NA
aunt,25.2438430099368,22.7278073298659
awake,25.4976845253276,NA
away,26.6701227615456,20.240610811565
baa,16.4398513421677,12.4545519999491
baby,15.9248932439685,11.1582469668947
babysitter,31.5506833755957,27.5473956321553
back,25.720173396101,18.3512736317443
backyard,26.5402450295394,17.8398337313389
bad,24.5445783333247,17.9428237000702
ball,14.2768653962918,9.82473059195667
balloon,17.1913305968559,12.3652885885148
banana,16.7641414600523,11.8790505859143
basement,35.1078909199217,NA
basket,24.919199478286,NA
bat,25.6094302803886,NA
bath,17.898811774388,8.80276633157866
bathroom,22.9541152221727,13.9457194735835
bathtub,21.656332685715,12.0161254379588
be,30.3431142305898,NA
beach,26.2289658986672,23.8838469921633
bead,29.2421946710709,22.2268865761884
bean,24.0926407951599,NA
bear,19.0951739246765,15.0349226592831
because,29.9154795421544,NA
bed,20.1732053997937,13.1982241240244
bedroom,24.841161335379,15.3083616211059
bee,20.691834891811,17.5330607804275
before,31.3810631764322,NA
behind,28.674355336123,NA
belly_button,20.1147872760655,14.248716878527
belt,25.7038847446772,NA
bench,30.2997587526594,NA
beside,33.6042533098235,NA
better,26.5248153139379,NA
bib,23.3711091058863,14.6970236130371
bicycle,21.1726246473179,16.1787506525946
big,21.8720120730763,18.261003324292
bird,17.2755285765468,12.8781373819361
bite,21.6623900562621,13.1400966289519
black,25.6416668340112,NA
blanket,20.0710602866004,12.8737227060473
block,21.1471286187454,14.4551819440597
blow,23.6423031628805,14.5831077201989
blue,22.5267045646585,21.0460945284273
boat,20.0394980213183,NA
book,16.378704608841,10.3797754120366
boot,21.9108746680825,17.9243449170255
bottle,18.2645388479628,8.12990149869141
bowl,22.238526130183,15.6249836858837
box,21.8028407955318,16.3428924460916
boy,22.7733583004513,19.7552527998243
bread,21.2445007522085,15.0378587228475
break,24.1593893463368,19.4167378221834
breakfast,23.6543688922872,13.5074728359309
bring,26.2988519911856,13.7723127410984
broken,22.8128475665557,18.6189798862458
broom,23.3494552677512,16.1384851383071
brother,26.825029723055,NA
brown,26.5756353110035,NA
brush,21.6177316081365,13.4706419523796
bubble,18.0941637230754,14.5476333099195
bucket,25.6370996717353,NA
bug,20.9715283442961,17.35237094697
build,26.5946301174212,NA
bump,25.5130118273902,18.5254645597358
bunny,20.1613758638939,14.3989238623632
bus,20.3904890083003,17.1229759225394
but,31.5445867988825,NA
butter,23.9102970431665,20.4433039962429
butterfly,22.672989501571,17.9970834355565
buttocks,21.4996406527013,NA
button,21.9915639788351,16.4801797879399
buy,26.8722788518035,NA
by,28.7754547626189,NA
bye,13.4608335566523,7.75534396049143
cake,21.6028376063859,18.8153789842266
call,23.0864558538111,NA
camera,24.9066803903111,NA
camp,32.2837417364431,NA
can,26.9684499092632,NA
candy,21.9883925624209,17.8303952005996
car,17.4729517644594,11.2904011312539
careful,25.784447131029,14.460820027238
carrot,23.374829487257,17.2082790522714
carry,24.7756917098997,NA
cat,17.6448488962866,11.8724601438648
catch,24.8495735650931,NA
cereal,21.567425856547,14.4127514897203
chair,20.335485707568,13.8813523698236
chalk,26.9769477930227,NA
chase,27.8307691174553,NA
cheek,22.7397076842014,18.8279717331288
cheerio,23.0468367863465,12.7110547847854
cheese,17.9128441183335,13.6489699491643
chicken,22.1500206720812,16.9845383938045
child,31.8369477166503,25.7641739211979
chin,23.1457023372338,NA
chocolate,24.4114629478486,NA
choo,19.1725829048944,15.9768564911087
church,26.5411552706563,22.8254043142979
circus,30.6985725029442,NA
clap,23.1190902929166,NA
clean,23.3031251176173,16.4774209183238
climb,25.1473739804818,NA
clock,22.5230833181883,17.5094502086257
close,23.9633613043934,14.5485343734094
closet,25.5380406229907,NA
cloud,24.9743333386318,NA
clown,26.9655878742823,NA
coat,21.9208650603336,16.0465044641127
cockadoodledoo,24.9473709920175,17.4093235474662
coffee,24.442899858817,18.8780529276271
coke,28.6526446267152,NA
cold,20.6489607552577,15.9120674253348
comb,24.4772341632969,16.2301722559657
cook,24.5923390380736,NA
cookie,17.9106571400241,12.2594386344325
corn,23.3955586781948,NA
couch,23.8889341309557,15.6064577070735
could,32.224841596697,NA
country,34.6376716124976,NA
cover,27.5752585759739,NA
cow,19.7042080534676,14.7831066527935
cowboy,30.3514610645432,NA
cracker,18.8270292824411,12.165371041158
crayon,22.4716455298109,NA
crib,25.2106761469459,14.554438721635
cry,22.6806717364985,15.1515465028661
cup,19.2681141930781,11.6249383885434
cut,25.8886853155042,NA
cute,26.943799889058,21.0597768989807
daddy,11.5393892866372,NA
dance,22.9038496479566,12.5013537248673
dark,25.4066377298362,20.1560837656526
day,28.0106676681388,21.7506081183536
deer,26.2015737177153,20.1414869978476
diaper,19.253628835794,10.2267028494106
did,27.6224782808622,NA
dinner,23.8686016542722,14.6985987754752
dirty,21.7323488229855,15.6292155607082
dish,26.6825221690415,18.4446363411926
do,24.0497624727105,NA
doctor,24.1530065129969,NA
does,30.8425156102947,NA
dog,15.1134840301787,9.93853037406769
doll,21.559404596567,14.66003155457
don't,25.3921054302855,11.8142994416206
donkey,28.5090209968816,20.6567857596802
donut,26.042904423265,NA
door,19.8665834065606,12.8964163999596
down,19.6579920035514,13.2953240968518
downtown,33.1152189657428,NA
draw,25.0306795581654,17.6039658755358
drawer,26.9292541712219,17.9144089161675
dress,24.9752857865576,19.9878446281649
drink,20.7087056414516,11.4744272944209
drive,24.4024784782168,17.1527244407574
drop,25.4156078876622,NA
dry,25.6752324423444,20.2184742150769
dryer,27.6079933358302,NA
duck,17.1029880364639,13.5438824588956
dump,29.353020732109,NA
each,34.4151035379033,NA
