do n't,don't
all gone,all_gone
belly button,belly_button
chocolate chip,chocolate_chip
french fry,french_fry
gas station,gas_station
have to,have_to
got to,gotta
green bean,green_bean
high chair,high_chair
ice cream,ice_cream
lawn mower,lawnmower
live ing room,living_room
next to,next_to
good night,night_night
night night,night_night
ni night,night_night
nightie night,night_night
peanut butter,peanut_butter
play pen,playpen
lotta,lot of
plane,airplane
phone,telephone
baby sitter,babysitter
fire man,fireman
mail man,mailman
pop corn,popcorn
apple sauce,applesauce
sand box,sandbox
tooth brush,toothbrush
patty cake,pattycake
jammie,pajama
bath room,bathroom
rock ing chair,rocking_chair
teddybear,teddy bear
thank you,thank_you
thank 's,thank_you
wash ing machine,washing_machine
want to,wanna
go ing to,gonna
grrr,grr
bike,bicycle
'm,am
your bottom,your buttocks
my bottom,my buttocks
her bottom,her buttocks
his bottom,his buttocks
butt,buttocks
tushy,buttocks
tush,buttocks
heinie,buttocks
daddies,daddy 's
pappa,daddy
papa,daddy
pappy,daddy
dada,daddy
dad,daddy
granny,grandma
gramma,grandma
grammy,grandma
grampa,grandpa
grandmother,grandma
grandfather,grandpa
grandaddy,grandpa
granma,grandma
granddaddy,grandpa
granpa,grandpa
grandmommy,grandma
diapie,diaper
and pop pop,and grandpa
some pop,some soda
mama,mommy
mammy,mommy
mamma,mommy
mom,mommy
momma,mommy
mommies,mommy 's
owie,booboo
ow,ouch
ouchie,ouch
kleenex,tissue
fire truck,firetruck
cock a doodle doo,cockadoodledoo
snow suit,snowsuit
down town,downtown
bath tub,bathtub
bed room,bedroom
play ground,playground
snow man,snowman
motor cycle,motorcycle
your self,yourself
uh-oh,uhoh
uh oh,uhoh
under pants,underpants
wood 's,woods
