,you_you,you_the,you_it,you_that,you_a,you_what,you_do,you_to,you_in,you_this,you_on,you_go,you_your,you_see,you_put,you_like,you_get,you_have,you_wanna,you_up,you_with,you_for,you_me,you_mommy,you_at,you_some,you_be,you_play,you_make,you_eat,you_take,you_them,you_him,you_sit,you_read,you_infname,you_.,the_the,the_that,the_is,the_and,the_to,the_in,the_on,the_go,the_of,the_with,the_say,the_one,the_.,it_you,it_the,it_it,it_a,it_to,it_in,it_there,it_on,it_here,it_your,it_like,it_be,it_.,that_you,that_the,that_that,that_a,that_like,that_good,that_.,a_and,a_in,a_on,a_of,a_for,a_one,a_bit,a_.,what_you,what_the,what_it,what_that,what_is,what_do,what_this,what_we,what_he,what_of,what_they,what_.,i_you,i_the,i_it,i_that,i_a,i_i,i_to,i_this,i_your,i_see,i_gonna,i_think,i_not,i_know,i_.,is_the,is_a,is_.,do_the,do_do,do_see,do_like,do_have,do_wanna,do_think,do_want,do_know,do_remember,do_.,and_you,and_the,and_it,and_a,and_is,and_and,and_.,to_you,to_the,to_it,to_that,to_a,to_to,to_in,to_on,to_with,to_.,in_box,in_mouth,in_.,there_is,there_go,there_.,this_the,this_a,this_.,we_the,we_it,we_a,we_do,we_to,we_go,we_put,we_have,we_.,on_floor,on_.,go_the,go_a,go_and,go_there,go_.,here_go,here_.,your_on,your_.,can_the,can_it,can_that,can_put,can_say,can_.,he_the,he_a,he_to,he_.,are_do,are_gonna,are_.,no_no,no_don't,no_not,no_.,see_.,don't_the,don't_it,don't_that,don't_.,look_the,look_that,look_a,look_this,look_.,put_in,put_on,put_back,like_.,gonna_you,gonna_the,gonna_it,gonna_a,gonna_.,of_.,did_do,did_go,did_see,did_.,where_you,where_the,where_go,where_.,get_.,have_.,wanna_the,wanna_it,wanna_a,wanna_with,wanna_.,up_the,up_.,with_.,for_.,they_.,me_you,me_.,mommy_.,good_.,think_.,at_.,say_.,she_.,little_.,not_.,all_.,some_.,does_.,how_you,how_.,was_.,out_the,out_.,who_.,be_.,so_can,so_.,am_.,down_.,baby_.,my_.,play_the,play_.,make_.,back_the,back_.,eat_.,his_.,over_.,too_.,her_.,about_.,big_.,daddy_.,if_can,them_.,more_.,him_.,would_like,why_you,those_.,an_.,these_.,sit_.,other_.,give_a,nice_.,read_book,another_.,bye_.,help_.,hi_.,open_.,hold_.,wait_minute,pretty_.,red_.,any_.,blue_.,love_.,new_.,infname_you,infname_the,infname_.,oh_you,oh_a,oh_.,okay_.,yeah_.,one_.,right_.,let_the,let_it,let_see,let_.,come_here,come_.,want_to,want_.,know_that,know_.,just_.,got_.,very_.,or_.,two_.,tell_what,mm_.,em_.,._you,._the,._it,._that,._a,._what,._i,._is,._do,._and,._to,._in,._there,._this,._we,._on,._go,._here,._your,._can,._he,._are,._no,._see,._don't,._look,._put,._like,._gonna,._of,._did,._where,._get,._have,._wanna,._up,._for,._they,._me,._mommy,._good,._think,._at,._say,._she,._little,._not,._now,._all,._some,._does,._how,._was,._out,._who,._be,._so,._am,._down,._baby,._my,._play,._make,._eat,._his,._over,._her,._about,._big,._take,._daddy,._if,._more,._him,._would,._then,._why,._those,._have_to,._an,._sit,._need,._thank_you,._boy,._try,._give,._nice,._were,._could,._another,._bye,._will,._gotta,._love,._infname,._oh,._okay,._yeah,._one,._right,._let,._come,._want,._know,._just,._well,._hm,._got,._very,._two,._else,._has,._should,._honey,._turn,._said,._kind,._color,._had,._happen,._many,._.,OTHER,word
0,42,0,0,0,7,1,17,1,1,0,2,4,0,5,7,7,8,9,13,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,2,1,30,1,0,0,1,0,0,0,2,0,0,0,0,15,0,1,0,3,0,0,0,0,0,0,3,2,25,12,1,6,5,88,0,84,0,0,0,0,0,0,0,24,4,0,0,0,0,1241,0,0,0,0,0,26,0,0,0,0,1,1,0,0,0,0,0,0,1,9,2,0,0,10,0,745,1917,1400,1242,4800,3566,3882,2578,1314,516,8,7,0,15,0,20,35,7,2,3,6,3,8,19,14,2,1062,0,6,15,0,3127,15,0,0,5,0,0,0,0,0,0,0,1,1,0,315,0,0,1,0,0,998,21,0,0,0,0,1,1255,1872,213,0,0,0,0,2106,3458,1148,1,354,124,8,503,0,1,1,848,0,0,1,0,3,94,19,6,128,0,0,0,0,0,239,1044,440,825,553,0,0,949,8,526,72,0,0,0,0,0,0,2,656,2028,0,1,2,0,0,9,266,3,0,2,22,1,0,0,1,15,15,0,0,7,2,453,12,1,1,1,0,0,0,6,0,0,25,0,40,0,0,68,1,1,452,0,0,0,3457,2,0,3,0,0,0,406,1,2,1,0,643,7,0,61,0,0,1,1,0,506,0,3,0,8,9,41,40,2,11,2,1,0,0,7,9,0,1,723,14,0,22,7,357,0,7,0,151,1,0,178,105,16,33,713,156,26,5,1281,120,9,65,8,4,9,33,452,2,10,4421,12,918,9,919,3163,380,813,1937,3536,0,1509,6,664,1579,6947,21,0,9,3,17,43,892,7,285,3,56,797,5,231,1,1,2,25,3,2,304,318,1,5,13,78,239,347,253,2,5,2,17,23,248,9,2,3,0,148,1,2,3,1358,26,261,742,0,0,306,167,6,547,514,1,0,76,662,167,43,5,318,3,12,503,35,129,4949,3378,859,5,0,1814,113,22,0,0,184,0,127,147,37,42,319,0,0,520,122262,you
1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,5,11,0,0,0,0,0,0,0,0,0,0,2,12,0,1,1,3,0,0,1,0,0,0,0,0,8,2,4,8,2,1,5,61,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,40,1,1,0,0,0,0,0,0,0,0,10,1,8,0,1,1,12,32,5,5,0,0,0,4,0,0,0,55,1078,61,156,1,0,9,0,0,2,0,0,0,0,0,0,0,0,0,1320,110,1,0,0,2,0,0,17,0,0,0,0,0,0,0,0,2,0,0,1,0,0,10,1,0,0,1,18,0,0,0,1,0,0,0,0,0,1,3,8,7,0,0,0,0,4,38,0,0,0,2,3,8,1,55,10,13,0,0,0,0,0,4,9,39,24,0,0,4,1,0,1,86,6,0,0,4,20,0,9,0,0,4,1,4,2,4,0,4,0,4,0,0,1,6,8,0,0,4,0,7,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,279,1,0,0,0,3,1,0,0,0,0,0,0,0,1,1,3,0,0,6,0,2,2,1,0,0,0,1,0,0,0,6,0,4,3,5,0,4,0,0,0,0,4,30,1,2,2,72,4,0,0,1,1,0,0,1,0,0,1,0,0,2,1,0,1,1,0,3,1,1,0,3,1,2,0,0,0,0,0,2,0,78,13,1,0,0,0,301,3,0,2,0,0,0,0,0,0,0,0,0,0,336,0,1,1,0,1,0,0,0,154,0,25,0,5,0,0,1,0,0,0,0,0,0,0,77,0,0,5,0,0,0,0,1,0,0,29,1,1,2,147,7,1,2,1,0,0,0,0,0,37,22,0,0,0,1,0,0,6,12,0,0,1,244,150603,the
2,1,0,0,0,4,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,24,0,3,0,4,2,4,3,3,12,6,4,15,16,4,5,579,0,0,0,0,0,0,0,1,0,0,3,5,357,54,0,0,0,0,0,24,0,0,0,0,1,1,0,0,0,0,1,0,1,0,5,61,415,4194,31,8,3,81,0,1,0,0,0,0,2210,1,6,5,32,17,3,6,0,0,1,1,1,2,5,1,1,234,0,3,943,1001,232,2,0,5,19,0,0,0,0,0,0,0,0,0,0,1199,0,3,0,0,3,69,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,3,340,5,770,0,0,0,18,42,67,31,52,566,1761,1425,872,712,0,0,0,0,0,445,13,181,1,683,0,0,431,4,1340,385,0,0,0,0,0,1,1,891,246,0,0,2,0,0,16,259,194,0,0,17,1,0,657,0,2,356,0,0,3,12,32,3,0,6,1,0,0,33,136,0,0,651,0,66,1,0,351,0,0,4,0,0,1,1,0,0,1,0,0,0,79,0,0,0,0,9,0,603,340,0,0,0,0,0,81,0,2,1,20,3,153,2,0,5,0,0,0,0,0,5,0,0,171,381,0,141,2,789,0,0,1,0,0,0,17,352,58,17,3185,72,7,858,11,1,25,183,14,20,0,171,392,12,165,82,1,1,24,2,28,550,6,226,270,0,139,7,124,4,0,27,189,2,16,26,179,0,19,307,2,13,1180,4,205,5,647,4,850,12,0,87,146,0,12,12,31,5,132,8,24,97,23,54,28,37,33,2,17,1,71,0,1,0,1,144,4,39,0,0,2,1,67,0,63,31,1,79,19,1,104,2,492,3,22,203,1,97,2,0,419,1,1,148,193,12,0,261,24,0,40,7,149,1,39,11,1,77,73324,it
3,7,5,4,1,13,10,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,2,73,9,1,0,0,0,0,1,0,0,0,0,0,1,16,8,12,10,0,1,1,0,0,2,0,0,69,20,25,10,39,2,3,22,0,1,0,0,0,0,0,5,19,5,3,15,729,24,1,0,4,0,0,5650,0,1,0,0,4,0,0,0,2,0,0,0,1,0,1,667,1795,4106,3,5,0,3,2,0,0,0,0,1,1875,11,127,22,175,40,6,39,1,1,0,1,0,0,1,0,3,58,106,3,71,0,7,6,1,3,1,0,0,1,0,0,0,0,0,0,3,229,2,5,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,336,15,320,0,0,0,2,2,1,8,0,3,317,200,147,2359,0,0,0,0,1,270,1,10,0,130,0,1,66,30,136,196,0,0,0,0,1,1,1,597,129,0,20,39,3,1,39,891,293,0,0,23,67,0,43,0,290,248,2,3,1759,3,1,6,0,1,1,0,0,22,29,4,0,140,0,6,0,15,503,0,4,1,0,0,11,0,0,0,1,0,0,0,1,0,70,0,0,0,0,72,44,0,0,0,0,0,17,1,22,9,5,2,361,19,3,10,11,1,0,0,0,0,0,1,22,151,12,357,3,15,0,2,2,0,0,1,139,2280,473,134,6603,961,31,839,8,3,56,26,9,18,29,19,194,1,665,37,15,10,37,2,15,438,0,104,77,1,26,286,9,0,1,8,243,13,20,210,641,0,8,89,11,82,1328,3,310,25,196,201,1191,5,22,117,95,0,3,114,203,4,119,2,268,6,100,23,57,4,153,6,20,7,241,0,227,3,0,336,0,6,1,13,1,3,183,2,47,155,0,53,5,3,451,10,313,5,788,4069,2,13,1,0,181,2,0,14,262,24,1,39,13,3,3,1,120,11,3,10,2,331,61400,that
4,3,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,8,23,2,2,2,5,0,0,1,1,0,1,0,0,37,0,1,14,6,1,0,2,0,0,0,1,0,75,13,2,34,15,2,1034,113,0,0,0,0,0,0,0,23,26,2,0,1,0,0,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,81,0,2,0,0,0,0,0,0,0,0,6,0,1,0,3,1,2,59,0,1,0,0,0,0,0,0,0,10,46,1,31,0,0,33,0,1,5,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,2,19,0,0,0,0,1,2,0,1,1,0,0,0,39,0,0,0,0,1,14,0,0,0,2,0,2,1,5,23,39,0,0,0,0,0,0,2,53,8,0,0,12,1,0,0,2,6,2,8,9,3,0,2,1,0,27,0,1,0,23,0,1,4,0,0,1,0,2,32,0,0,2,0,0,0,1,13,2,3,0,0,0,4,0,0,0,58,0,0,0,0,0,301,4,0,0,0,0,1,1038,0,0,0,1,0,0,0,0,8,2,0,0,0,1,4,2,0,0,0,0,0,1,0,7,0,0,10,13,0,3,2,0,0,0,15,2,1,2,27,249,1,19,2,5,1,0,2,1,1,0,1,0,0,5,0,0,11,0,0,4,0,1,0,0,0,0,1,1,0,0,8,0,0,16,33,1,0,0,0,534,0,0,1,0,0,0,0,1,4,1,1,0,1,134,1,3,2,0,0,0,0,0,240,0,9,0,0,0,0,0,0,1,0,0,1,0,0,39,0,0,44,0,0,0,1,0,0,0,24,2,0,2,25,2,1,0,0,1,1,0,0,0,32,12,0,0,0,0,0,0,5,1,0,0,0,222,99179,a
5,32,9,16,5,8,3,17,11,6,9,1,0,2,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,1,0,0,0,0,3,237,17,3,2,0,0,3,1,1,0,0,0,0,161,8,6,6,1,0,8,0,0,0,1,0,0,64,659,121,100,53,0,1,63,0,2,0,1,2,0,0,386,14,27,3,22,46,40,24,1,8,0,1,107,1,0,1,0,0,3,0,1,0,0,0,0,0,0,9,14,4,57,9,11,0,1,0,0,0,0,0,0,200,22,74,10,6,241,1,72,5,2,1,0,0,0,0,0,0,33,2,0,43,11,1,12,0,1,1,0,0,0,4,0,0,0,0,3,0,49,2,0,0,0,9,2,10,0,66,0,0,0,0,0,17,0,0,0,55,1,0,22,0,0,0,81,51,0,0,0,26,15,24,8,35,3,10,8,4,62,1,0,1,0,36,94,0,6,0,60,0,0,2,29,31,31,0,1,0,0,26,1,3,67,88,16,155,22,23,0,2,29,33,14,19,9,4,41,13,1,3,10,6,2,11,21,7,16,1,2,30,9,0,18,18,0,2,29,13,1,7,8,27,21,15,0,0,85,5,0,0,1,0,0,0,7,0,2,0,13,2,6,2,12,5,0,1,5,3,4,3,4,106,37,60,33,132,27,5,19,33,1,0,0,0,1,0,2,0,72,794,703,6,17,2,60,23,0,4,2,2123,1774,248,5866,1168,420,77,6730,5977,0,15,989,35,4072,98,303,200,25,417,194,895,5828,3,1,16,7,2,2,59,1,2686,10,4,104,3,92,38,50,1,93,16,1,52,19,280,12,13,7,62,1,2405,6,703,30,18,4,47,161,22,45,42,0,55,0,159,63,98,1012,19,2,78,173,5,2,510,4,2,24,0,25,0,1,0,1,0,1,3,252,60,12,1,88,0,6,276,18,4,3,26,8,1,146,1,0,5,3,0,7,0,3,1958,20,279,389,0,2,1325,1479,6,1566,0,6558,31500,what
6,1,0,0,0,0,0,2,0,0,0,0,1,0,13,2,3,3,3,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,10,0,1,2,0,1,0,0,0,0,0,1,0,5,1,0,0,0,14,0,12,0,0,0,0,0,0,0,2,0,0,0,2,0,38,0,0,0,0,0,11,2,0,0,0,0,26,0,0,0,1,0,16,0,5,12,0,0,3,0,81,23,15,82,22,15,23,15,6,40,1,0,1,0,0,5,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,18,4,0,0,0,0,0,118,6,24,0,0,0,0,0,0,5,0,450,1,6,3,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,71,10,20,64,1,0,9,3,0,6,0,1,0,0,0,0,0,2,0,0,0,0,0,1,2,0,5,2,4,5,1,0,0,0,3,22,0,1,1,0,245,4,90,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,248,0,0,0,10,1,0,29,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,1,10,1,6,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,8,2,14,34,4,6,120,14,360,2,3,2,2,2,5,1,149,0,1,1442,2,0,2,2096,6802,60,424,674,156,2,858,0,590,712,547,0,4,0,0,0,1,5310,0,44,2,0,5,2,1,1,0,0,540,0,0,279,0,6919,0,0,0,51,96,36,1,0,0,1,1,172,2,0,0,0,208,0,1,0,391,2,28,336,0,0,79,218,0,0,149,0,0,308,223,561,27,3,1,3,1,1,58,29,499,2413,479,1,0,911,0,0,0,3,90,0,48,195,9,17,138,2,0,172,47635,i
7,0,2,13,7,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,1,20,31,78,196,23,14,24,27,17,13,3,0,2655,7,78,72,376,1,17,1013,0,0,0,0,24,0,0,2,4,302,1786,3325,4,0,1312,0,427,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,9,1,0,2,0,1,0,0,0,0,0,7,0,2,7,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,7,3,89,935,1345,629,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,7,0,0,0,1,0,0,0,0,18,49,1,791,0,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,491,0,18,0,1,0,0,0,0,0,0,0,1,0,0,0,1,20,0,0,0,3,391,0,0,0,0,0,0,1,0,0,0,28,0,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,2,10,0,2,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,1,20,38,1,1,0,0,0,144,0,0,0,0,0,0,0,1,0,2,0,16,0,0,0,1,0,0,0,14,399,2528,6290,46,16,2,20,1,0,1,10,710,832,2,3,2,3,215,0,1049,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,22,1,0,47,0,0,61,1,485,2,7,0,6,1,0,0,0,3,1,0,2,1,0,12,25,1,0,0,25,0,10,1,5,3,43,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,180,2,0,1,7,2,1,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,22,31834,is
8,83,123,980,676,162,58,6,172,137,116,47,4,32,1,4,37,1,48,9,12,734,16,23,4,168,26,0,1,2,3,0,5,0,1,0,205,3557,2,0,0,0,0,0,0,0,0,0,0,0,1,39,3,11,3,2,7,6,1,3,0,1,0,88,51,1,1,0,0,0,50,0,0,0,0,0,0,0,2,6155,133,2,1,0,4,1,481,2,0,266,8,5,24,148,53,13,32,21,29,3,11,0,4,104,8,355,1,5,26,1,157,0,0,0,0,0,0,0,0,50,134,16,48,7,0,0,1,16,82,475,353,33,19,20,7,182,744,0,0,0,0,0,3,0,0,17,62,119,32,1,14,0,2,26,325,0,3,7,6,0,0,5,0,1,0,6,41,611,283,0,0,173,2,9,28,878,0,0,20,0,2,3,0,0,1,94,473,5,0,0,0,0,0,0,0,0,1,9,52,148,30,722,2,0,0,0,2,673,84,0,3,0,0,107,297,43,66,269,0,0,0,2,555,10,10,118,0,1,0,3,349,0,0,6,1,0,676,2,23,0,0,2,9,0,0,35,0,67,1,2,0,1,0,0,0,0,0,0,4,2,0,68,0,4,0,4,1,403,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,309,1,149,166,1,0,0,0,29,0,66,91,0,6,0,0,0,5,0,0,35,0,0,0,5,0,0,1,13428,99,255,46,26,83,223,1,56,0,2,0,1,36,296,0,1,0,21,1,2,0,0,1,1,0,1,8,0,0,0,0,1,2,2,0,0,345,4,3,4,2,0,0,0,1,69,0,6,18,0,0,0,0,0,0,2,0,0,6,3,0,0,3,6,1,2,0,2,0,1,0,6,0,1,0,0,15,0,1,0,0,0,3,1,2,3,0,0,14,0,0,0,0,4,0,0,1,9,0,0,0,6,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,60,19291,do
9,38,7,4,12,3,1,2,0,0,5,1,0,24,2,3,0,1,1,0,0,0,1,43,22,0,3,0,3,3,2,0,0,0,0,3,63,5,10,0,0,1,0,1,0,0,0,0,0,0,0,66,14,30,3,0,1,0,1,0,0,0,1,4,10,6,12,1,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,4,7,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,8,1,0,0,53,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0,2,1,0,1,0,0,1,3,2,0,4,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,17,50,13,25,18,0,2,5,6,3,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,1,1197,1346,385,753,1035,2688,1048,41,142,36,11,59,688,694,715,88,59,445,182,23,665,18,19,62,30,240,133,10,2,4,101,283,59,27,2,16,12,430,3,137,1,2,7,20,363,18,18,248,73,136,29,158,20,7,623,7,122,0,37,31,33,34,31,14,107,7,48,3,19,28,78,77,13,0,18,1888,37,49,1,48,12,0,4,1,4,23,2,7,5,55,1,6,0,2,359,23,2,4,141,23,104,9,5,2,13,3,1,2,5,47,0,4,8,2,10,11,3,4,0,0,4,406,40752,and
