,you_you,you_the,you_it,you_that,you_a,you_what,you_do,you_to,you_this,you_go,you_your,you_put,you_get,you_have,you_with,you_me,you_some,you_play,you_.,the_is,the_and,the_in,the_on,the_of,the_one,the_.,it_you,it_the,it_a,it_.,that_you,that_a,that_.,a_of,a_.,what_you,what_the,what_it,what_that,what_is,what_do,what_this,what_we,what_.,i_you,i_the,i_it,i_that,i_a,i_gonna,i_think,i_know,i_.,is_a,is_.,do_see,do_wanna,do_think,do_want,do_know,do_.,and_.,to_the,to_it,to_.,in_.,there_go,there_.,this_.,we_.,on_.,go_the,go_.,here_go,here_.,your_.,can_it,can_.,he_a,he_.,are_do,are_gonna,are_.,no_.,see_.,don't_it,don't_.,look_the,look_.,put_in,put_on,like_.,gonna_it,gonna_.,of_.,did_.,where_you,where_go,get_.,have_.,wanna_it,up_.,with_.,for_.,they_.,me_.,mommy_.,good_.,at_.,say_.,she_.,little_.,not_.,all_.,some_.,how_you,was_.,who_.,be_.,so_.,baby_.,my_.,back_.,eat_.,his_.,over_.,too_.,her_.,about_.,big_.,more_.,would_like,why_you,an_.,other_.,another_.,infname_.,oh_.,one_.,right_.,let_.,come_.,want_to,want_.,got_.,very_.,._you,._the,._it,._that,._a,._what,._i,._is,._do,._and,._in,._there,._this,._we,._on,._go,._here,._your,._can,._he,._are,._no,._see,._don't,._look,._put,._like,._gonna,._did,._where,._get,._have,._wanna,._up,._they,._me,._mommy,._good,._think,._at,._say,._she,._little,._not,._now,._all,._some,._does,._was,._who,._am,._my,._about,._would,._then,._have_to,._infname,._okay,._yeah,._one,._right,._let,._come,._want,._know,._just,._got,._else,._.,OTHER,word
0,42,0,0,0,7,1,17,1,0,4,0,7,8,9,0,0,0,2,30,0,1,0,0,0,0,15,0,1,3,25,12,5,84,0,24,4,0,0,0,0,1241,0,0,26,0,0,0,0,1,0,0,9,2,0,10,1917,4800,3566,3882,2578,516,35,2,3,1062,15,3127,15,5,1,315,0,0,998,21,0,0,213,0,0,2106,3458,1148,8,503,1,848,0,3,94,19,128,0,0,239,553,0,949,526,72,0,2,656,2028,0,2,0,0,266,3,0,2,22,1,0,1,15,7,2,12,1,0,0,25,0,40,0,0,68,1,0,3457,2,3,0,1,8,40,2,1,9,1,723,14,357,0,178,105,16,33,713,156,26,5,1281,120,65,8,4,9,33,452,2,10,4421,12,918,9,919,3163,380,813,1937,3536,1509,6,664,1579,6947,21,9,3,17,43,892,7,285,3,56,797,5,231,1,1,25,2,1,78,17,148,1,1358,43,318,3,12,503,35,129,4949,3378,859,1814,0,520,142252,you
1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,12,0,1,3,8,2,2,61,0,9,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,10,32,5,0,55,156,0,9,2,0,110,1,0,0,17,0,0,0,0,1,0,0,10,1,18,0,1,0,0,1,3,7,0,4,38,2,3,1,10,13,0,9,39,24,0,4,1,0,86,6,0,0,4,20,0,0,4,2,4,4,0,0,0,4,0,7,0,0,14,0,0,0,0,0,0,1,3,6,2,1,1,0,0,6,5,0,4,30,1,2,2,72,4,0,0,1,0,0,1,0,0,1,0,0,2,1,0,1,1,0,3,1,1,0,1,2,0,0,0,0,2,0,78,13,1,0,0,0,301,3,0,2,0,0,0,0,0,0,0,0,1,0,29,1,2,147,7,1,2,1,0,0,0,0,244,154244,the
2,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,24,12,6,16,579,0,1,0,0,3,5,357,54,0,0,24,0,0,0,0,1,1,0,0,5,415,4194,3,1,0,0,0,2210,6,0,1,234,943,232,2,19,0,1199,0,3,69,2,0,0,10,0,0,0,0,0,5,770,0,18,42,566,1761,1425,712,0,0,445,683,0,431,1340,385,0,1,891,246,0,2,0,0,259,194,0,0,17,1,0,0,356,3,12,3,1,0,0,651,0,66,1,0,351,0,0,1,0,1,0,0,20,2,0,0,5,0,171,381,789,0,17,352,58,17,3185,72,7,858,11,1,183,14,20,0,171,392,12,165,82,1,1,24,2,28,550,6,226,270,139,7,124,4,0,27,2,16,26,179,0,19,307,2,13,1180,4,205,5,647,850,0,0,31,54,71,0,1,104,492,3,22,203,1,97,2,0,419,148,0,77,80612,it
3,7,5,4,1,13,10,1,1,0,0,2,0,0,0,0,0,0,0,73,0,0,0,1,0,0,1,16,8,10,69,20,39,22,0,5,19,5,3,15,729,24,1,0,5650,0,1,0,0,4,0,0,0,1,1795,4106,0,0,0,0,0,1875,39,1,0,58,71,7,6,1,0,229,2,1,2,3,0,0,0,0,0,0,0,1,15,320,0,2,2,3,317,200,2359,0,1,270,130,0,66,136,196,0,1,597,129,0,39,3,1,891,293,0,0,23,67,0,0,248,1759,3,6,1,0,0,140,0,6,0,15,503,0,0,0,0,1,0,0,5,19,11,1,0,1,22,151,15,0,139,2280,473,134,6603,961,31,839,8,3,26,9,18,29,19,194,1,665,37,15,10,37,2,15,438,0,104,77,26,286,9,0,1,8,13,20,210,641,0,8,89,11,82,1328,3,310,25,196,1191,22,0,203,23,241,0,0,451,313,5,788,4069,2,13,1,0,181,14,1,331,67806,that
4,3,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,2,23,2,5,0,1,0,0,37,0,1,6,75,13,15,113,0,23,26,2,0,1,0,0,2,1,9,0,0,0,0,0,0,0,0,2,4,81,0,0,0,0,0,6,59,1,0,10,31,0,33,5,0,25,0,3,0,26,0,0,0,2,9,0,0,0,2,19,0,0,1,1,0,0,39,0,1,14,2,0,1,23,39,0,2,53,8,0,12,1,0,2,6,2,8,9,3,0,1,27,0,23,1,0,1,0,2,0,0,0,1,13,2,0,0,0,58,0,4,8,0,4,2,0,1,0,7,13,0,15,2,1,2,27,249,1,19,2,5,0,2,1,1,0,1,0,0,5,0,0,11,0,0,4,0,1,0,0,0,1,1,0,0,0,0,16,33,1,0,0,0,534,0,0,1,0,0,0,4,0,1,0,0,0,0,24,0,2,25,2,1,0,0,1,1,0,0,222,102299,a
5,32,9,16,5,8,3,17,11,9,0,2,0,0,0,0,3,1,0,237,2,0,3,1,0,0,161,8,6,1,64,659,53,63,1,386,14,27,3,22,46,40,24,1,107,1,0,1,0,0,0,0,0,9,4,57,0,0,0,0,0,200,72,2,1,33,43,1,12,1,3,49,2,9,2,10,66,0,17,0,55,1,0,22,81,51,0,26,15,3,10,8,62,1,36,94,60,0,2,31,31,1,3,67,88,16,22,23,0,29,33,14,19,9,4,41,1,10,11,21,16,30,9,2,29,13,1,7,8,27,21,85,0,0,0,7,13,60,27,33,1,1,2,0,72,17,2,2123,1774,248,5866,1168,420,77,6730,5977,0,989,35,4072,98,303,200,25,417,194,895,5828,3,1,16,7,2,2,59,2686,10,4,104,3,92,50,1,93,16,1,52,19,280,12,13,7,62,1,2405,703,18,161,42,1012,510,4,0,276,4,3,26,8,1,146,1,0,5,7,1958,6558,40984,what
6,1,0,0,0,0,0,2,0,0,1,0,2,3,3,0,0,0,0,0,2,2,0,0,0,0,10,0,1,0,5,1,0,12,0,2,0,0,0,2,0,38,0,0,11,2,0,0,0,0,0,16,5,12,0,3,23,22,15,23,15,40,39,0,0,1,0,5,1,0,0,2,0,1,18,4,0,0,24,0,0,0,0,5,6,3,0,11,0,1,0,0,0,0,0,0,64,1,9,0,6,1,0,2,0,0,0,0,1,0,5,2,4,5,1,0,0,22,1,0,4,0,2,0,0,0,0,0,0,0,6,0,10,1,29,0,1,3,10,0,0,0,0,0,2,0,0,8,2,14,34,4,6,120,14,360,2,2,2,2,5,1,149,0,1,1442,2,0,2,2096,6802,60,424,674,156,858,0,590,712,547,0,0,0,0,1,5310,0,44,2,0,5,2,1,1,0,540,0,6919,0,1,208,0,391,27,1,3,1,1,58,29,499,2413,479,911,0,172,52235,i
7,0,2,13,7,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,31,196,2655,7,376,1013,0,2,4,302,1786,3325,4,0,1312,0,66,0,0,0,0,0,0,0,0,2,3,9,2,0,0,0,0,7,1,0,1,0,0,3,89,629,0,1,0,1,0,7,0,1,0,49,791,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,1,0,0,1,20,0,0,3,391,0,0,0,0,0,0,28,0,1,5,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,38,0,144,0,0,0,1,0,0,0,14,399,2528,6290,46,16,2,20,1,0,10,710,832,2,3,2,3,215,0,1049,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,47,0,0,61,1,485,2,7,0,6,1,0,0,1,1,25,1,0,0,0,180,0,1,7,2,1,0,0,0,1,0,0,22,35708,is
8,83,123,980,676,162,58,6,172,116,4,32,4,1,48,734,23,26,1,3557,0,0,0,0,0,0,1,39,3,3,88,51,0,50,0,2,6155,133,2,1,0,4,1,481,8,5,24,148,53,13,0,4,8,355,5,26,0,0,0,0,0,50,1,82,475,744,0,0,3,17,325,3,7,5,0,1,6,611,173,9,878,0,0,20,0,0,94,5,0,0,0,0,1,148,722,2,2,673,0,0,0,297,0,0,2,555,10,118,0,0,3,349,0,0,6,1,676,23,2,9,0,67,1,0,0,0,0,0,4,2,0,0,1,403,0,0,0,149,0,29,0,6,0,0,5,0,0,13428,99,255,46,26,83,223,1,56,0,0,1,36,296,0,1,0,21,1,2,0,0,1,1,0,1,8,0,0,0,1,2,2,0,345,4,3,4,2,0,0,0,1,69,0,6,18,0,0,0,0,3,0,1,0,0,4,0,1,9,0,0,0,6,3,2,0,0,60,24081,do
9,38,7,4,12,3,1,2,0,5,0,24,3,1,1,0,43,3,3,5,0,1,1,0,0,0,0,66,14,3,4,10,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,4,1,0,1,1,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,4,0,0,0,0,0,0,0,1,0,0,13,0,6,3,0,4,0,0,0,0,1197,1346,385,753,1035,2688,1048,41,142,36,59,688,694,715,88,59,445,182,23,665,18,19,62,30,240,133,10,2,101,283,59,27,2,16,430,3,137,1,2,7,20,363,18,18,248,73,136,29,20,623,0,33,3,18,1888,1,359,2,4,141,23,104,9,5,2,13,2,0,406,42397,and
