,word,logfreq,MLU,solo_freqs,final_freqs
0,you,-3.180531528708275,7.023976648529323,520,16016
1,the,-3.5761993144197635,8.088437029683947,244,1579
2,it,-3.8693334763720437,6.6593601895734595,77,30652
3,that,-3.8732821233504438,5.871126511684035,331,24147
4,a,-3.976869506611881,7.2591278908572905,222,1631
5,what,-4.02190419520522,5.034023062075587,6558,11722
6,i,-4.1734280913302655,8.07632779406973,172,845
7,is,-4.4985927182819125,5.999838912336093,22,7029
8,do,-4.508646633867686,6.864653334852011,60,10762
9,and,-4.513262114494731,9.762791381959657,406,836
10,to,-4.624974426123764,9.517584265555312,17,1157
11,in,-4.719451436987787,8.365196078431373,53,3431
12,there,-4.795672636156072,5.952409860590161,2334,18121
13,this,-4.820655276273986,6.3298210514615985,240,11272
14,we,-4.828667728330757,8.708667592883073,31,909
15,on,-4.857216419295794,7.672538621166705,98,9450
16,go,-4.872551292289693,6.663427768672442,234,14201
17,here,-4.898499668436773,5.350346020761246,3600,20134
18,your,-4.9049845096959155,7.039906160059981,17,332
19,can,-4.991004770389994,7.623342734389414,39,938
20,he,-5.083188500218283,7.389271056130412,50,1501
21,are,-5.084200631419042,6.268061221537482,2,2198
22,no,-5.145651984375162,4.311755837922654,8792,11790
23,see,-5.194094548748423,6.058967900277724,1913,8794
24,don't,-5.232174015805764,7.219430373377168,103,770
25,look,-5.289046335120104,5.853094705443699,2762,4767
26,put,-5.289508073038766,8.12714935341765,15,175
27,like,-5.300726082145407,7.779370553998707,17,1486
28,gonna,-5.30797366646886,8.00151992183259,3,253
29,of,-5.353128063949404,9.784121455343959,3,533
30,did,-5.386464484216996,6.837593455200219,9,1767
31,where,-5.388384359427138,5.144207388814809,760,1178
32,get,-5.395429275117794,7.805877009360559,12,498
33,have,-5.470920564686738,8.069043359741034,2,1503
34,wanna,-5.5233847327200705,6.893213035281444,36,446
35,up,-5.530185794854274,7.461427215618927,582,8258
36,with,-5.564762362320245,8.638549707602339,12,1101
37,for,-5.579181611298075,8.482842090274811,15,1141
38,they,-5.580131324081363,7.56506247327664,11,1422
39,me,-5.580558989273559,7.277519011406844,101,6447
40,mommy,-5.723586714791874,6.29238868172845,537,5132
41,good,-5.739561407095929,4.485095001950187,1677,7265
42,think,-5.745821558332214,8.4017942248388,17,1868
43,at,-5.7595969695263,7.5585242453527375,5,818
44,say,-5.773218975034702,5.812712499279663,321,5072
45,she,-5.775931114958521,8.215763319080088,30,632
46,little,-5.806677493695191,7.965856274579907,25,651
47,not,-5.813493663582862,7.025617950563955,22,1415
48,now,-5.826233458529822,6.921006258734885,422,6233
49,all,-5.851649429235262,8.103340812764896,17,861
50,some,-5.874981088512396,7.422100293479648,18,973
51,does,-5.933777122910633,6.55010487854388,7,859
52,how,-5.937233933212291,6.463606735469853,63,242
53,was,-5.953042645674308,8.84417465682555,1,544
54,out,-5.954354121272119,8.458834093106782,76,5201
55,who,-5.965816161940989,5.073709215398589,419,749
56,be,-6.015959158612732,8.643355615955336,14,869
57,so,-6.016988116516247,9.0088241782484,154,1498
58,am,-6.072473931409361,8.27524290711232,3,297
59,down,-6.095194141456218,6.755725190839694,260,5929
60,baby,-6.108240066609258,5.866269233867719,561,5156
61,my,-6.143912743300798,7.099515778928034,17,385
62,yes,-6.193809714445421,3.453268977621764,4378,5437
63,play,-6.207327612563185,7.806440135207258,57,1472
64,make,-6.224553949179307,7.885972850678733,5,686
65,back,-6.30646113901801,7.857676063255083,34,3121
66,eat,-6.3085259349927325,6.96998031496063,127,2303
67,his,-6.31563777848045,7.9859238699444886,3,123
68,over,-6.322800562785326,7.546725239616613,15,1217
69,too,-6.32610073078878,7.084443554041871,23,5014
70,her,-6.326401286819696,8.760320641282565,17,1615
71,about,-6.329210841146245,7.229501607717042,5,907
72,big,-6.350845934164006,7.002156278878735,42,1047
73,but,-6.386487476462444,10.606937646307726,60,310
74,take,-6.389578010174017,8.327676379549578,4,93
75,daddy,-6.393106482158814,6.588796058269066,263,2611
76,if,-6.398153472737684,11.381203574119926,3,41
77,them,-6.398476487545338,8.521430109842774,2,2748
78,more,-6.445437612526079,6.6813769751693,236,2765
79,him,-6.455305553996822,7.649948706257836,8,3139
80,book,-6.478950043997621,7.1080765639589165,174,5239
81,would,-6.520535829976706,8.931256843898284,4,127
82,then,-6.541188069825225,10.163830580052167,27,1056
83,why,-6.54305293019038,6.761448481831757,959,1389
84,those,-6.562022156728067,6.5608116677235255,15,1371
85,have_to,-6.591233524087966,8.99347088012536,1,153
86,when,-6.6083549748599895,11.43663655685441,87,129
87,an,-6.631332136192941,7.4659507951610715,18,97
88,off,-6.6555457280148875,7.579306503272525,111,3637
89,these,-6.660991527970812,7.19784374124895,28,1423
90,sit,-6.72801610139957,7.139841293606827,72,424
91,need,-6.7411275845358976,8.002123786407767,2,380
92,thank_you,-6.8595176004840575,2.4055669398907105,3169,4353
93,other,-6.861226710454014,8.484433800889498,10,346
94,boy,-6.862767410921414,5.358574610244989,133,3633
95,try,-6.866543591172441,7.204127257093723,35,541
96,give,-6.8748323625097925,8.057568926651639,2,23
97,nice,-6.926792101440504,5.612785388127854,124,1976
98,ball,-6.9560751426208665,5.374083129584352,382,3549
99,car,-6.958146121427521,6.957218243497927,173,2977
100,were,-6.974486975248521,9.414942528735633,0,161
101,could,-7.011763219953241,9.325114336846292,3,136
102,time,-7.025175491873459,9.282950423216445,7,1978
103,read,-7.045123232479202,7.665707236842105,18,554
104,another,-7.057951879344007,6.186588921282799,11,107
105,bye,-7.095724245772992,3.9785899653979238,312,1639
106,hand,-7.12024386294731,6.90979609929078,48,2495
107,will,-7.121352633434557,8.692256489904592,2,327
108,call,-7.146972012149426,7.415206009560665,8,1113
109,help,-7.159801512289839,7.0417339174544615,76,850
110,house,-7.1625722367592255,8.484161849710983,54,2720
111,hi,-7.19547767320163,2.664277180406213,1381,1791
112,girl,-7.200508226390346,5.859750240153699,34,2722
113,open,-7.201950187707247,6.2063492063492065,229,919
114,find,-7.2029126516891475,7.872652864708715,4,285
115,bear,-7.2349564841754175,6.703952274422073,120,2025
116,uhoh,-7.272696812158264,2.329891584925142,2572,2734
117,away,-7.2747639963569295,7.812209001551992,20,2310
118,head,-7.2804708860350225,7.557752341311134,18,2326
119,hold,-7.289092755251345,6.631067961165049,5,144
120,wait,-7.294618358048734,6.714775725593667,241,678
121,water,-7.316761452974474,7.548961424332345,150,1901
122,box,-7.318381323739049,7.34477168332883,48,2539
123,please,-7.320545241272642,5.754941781749255,402,2524
124,pretty,-7.320545241272642,5.285404819929597,115,917
125,around,-7.3608822013515836,7.914857626162955,9,1292
126,talk,-7.377942609449554,7.934040722684256,26,582
127,push,-7.381389898126313,5.911079136690647,252,524
128,show,-7.381677709324156,7.693436960276339,4,120
129,today,-7.393841195517353,7.757575757575758,42,2329
130,toy,-7.39588290542888,7.632992700729927,65,1614
131,bird,-7.3970514711476,6.1002630809704765,123,1758
132,red,-7.404975210331034,6.224513847967001,225,872
133,any,-7.409108667648141,8.365384615384615,3,233
134,watch,-7.414150944384936,5.689860243829914,378,877
135,kitty,-7.416532606719423,4.971684053651267,251,1462
136,cookie,-7.450793953829584,5.959901295496607,165,1774
137,picture,-7.464458762731306,7.794559099437148,20,1499
138,gotta,-7.483398722832227,7.820586360739324,4,42
139,blue,-7.485951372591007,5.928434504792333,305,1026
140,chair,-7.488830913854426,6.888817686638898,93,2032
141,because,-7.498489713993089,10.673891944354578,77,166
142,nose,-7.504655561857643,5.818033854166667,200,2089
143,cat,-7.523052926997359,6.473806366047746,142,1490
144,better,-7.529372588808542,7.27027027027027,17,1195
145,eye,-7.534054871610457,6.209520616828696,192,1819
146,hat,-7.5374128331271075,6.017827110662631,135,1732
147,mouth,-7.54823471757121,6.994899693981639,60,1962
148,hello,-7.552323309297472,2.6186411744622737,1360,1757
149,dog,-7.563308658355855,6.59302726958923,165,1349
150,work,-7.571975725957091,7.577646239554317,15,1388
151,bed,-7.5726723473715385,8.188850174216029,36,1762
152,hair,-7.580016321627297,6.899262899262899,55,1653
153,lot,-7.589892945123209,8.96207018787664,8,255
154,which,-7.591666938847273,6.958096590909091,33,49
155,throw,-7.596650929228253,6.525695931477516,19,212
156,first,-7.605613168818406,8.563197695354699,9,1394
157,love,-7.625250163451446,6.200514138817481,27,262
158,juice,-7.63040481404011,5.636766334440753,150,1875
159,day,-7.634473619357505,10.00333580429948,11,1231
160,cow,-7.639676158033633,5.56892697466468,173,1386
161,drink,-7.644531443015245,6.5630849868962935,27,764
162,truck,-7.647906657170148,6.605184072126221,94,1636
163,shoe,-7.655069741520916,5.885357548240636,190,1491
164,people,-7.670703997052755,8.378939277478862,37,774
165,green,-7.672242458894661,5.998845265588915,250,805
166,pick,-7.676872096793403,8.410672853828306,7,78
167,home,-7.678807456406592,8.807438977140643,19,1422
168,bunny,-7.682689448859316,5.50486192143135,114,1202
169,milk,-7.684636110949624,6.402182385035074,144,1435
170,walk,-7.685415838084645,7.58814352574103,47,813
171,by,-7.698369895580082,9.366653496641643,4,152
172,new,-7.705109266975013,8.677406523468576,7,147
173,animal,-7.709094923905217,8.04073482428115,20,912
174,close,-7.717114213071836,6.1131239935587764,138,559
175,sleep,-7.717919690360653,7.578162771958098,38,1130
176,our,-7.729265030854348,9.28239608801956,1,17
177,bring,-7.735806346083988,8.860541427399507,3,55
178,school,-7.739093119790612,8.960493827160494,12,1127
179,pull,-7.7657836115868735,6.374049027895182,137,319
180,clean,-7.7776885140931915,7.61633875106929,18,418
181,door,-7.783694538153403,7.113166953528399,38,1351
182,train,-7.791036397951451,7.534460338101431,37,1133
183,hear,-7.796687358435889,6.849607672188317,4,169
184,man,-7.805004324740155,6.471648351648351,23,1033
185,stay,-7.805443981814724,8.01363236587511,12,150
186,much,-7.808527005617677,8.321129245699161,2,699
187,fall,-7.812504911415598,6.788751107174491,8,485
188,stop,-7.816498704165889,5.421076033792797,299,796
189,into,-7.8444536354484375,10.33424782807499,2,72
190,cup,-7.847659500342071,6.622935779816514,80,1301
191,duck,-7.8522572095907,5.355299539170507,173,1161
192,table,-7.85410222856427,8.08910433979686,27,1395
193,yellow,-7.858729724096317,5.769944341372913,237,695
194,kiss,-7.876512129963854,5.771010387157696,67,1108
195,fix,-7.884095104688309,7.105613701236917,3,175
196,block,-7.890298894568639,6.468645284825275,114,1219
197,ear,-7.891736020564488,6.199904122722915,84,1166
198,careful,-7.901854150730072,4.385956416464891,368,1068
199,ride,-7.90524973973121,8.048590864917395,6,481
200,tree,-7.909632507886306,7.053196681307955,97,1335
201,horse,-7.912075704801611,6.720156555772994,63,970
202,sing,-7.918456094544821,6.40768094534712,33,533
203,egg,-7.921414676584566,7.272098765432099,116,1051
204,face,-7.922897256544789,7.019782393669634,14,1259
205,hurt,-7.941869368280387,6.090725806451613,15,742
206,fit,-7.94742915010259,6.950329447541814,3,609
207,hard,-7.955571688729129,7.184977005620849,21,647
208,their,-7.9565941837057395,10.383631713554987,0,25
209,pig,-7.967393980111966,6.2719751809720785,91,930
210,fish,-7.974659191103378,6.113541666666666,142,1068
211,outside,-7.976222913079561,6.810641627543036,98,1189
212,orange,-7.986183676955332,5.700210748155953,218,702
213,jump,-7.987237973310238,6.2784810126582276,129,596
214,finish,-7.987765538608679,7.512401055408971,12,377
215,story,-7.99464933597988,8.456960680127525,2,987
216,food,-8.007483736751421,8.186221743810549,33,927
217,chicken,-8.01233942473808,6.035694970254191,118,822
218,apple,-8.013963241062408,5.763271939328277,222,852
219,paper,-8.019939895636535,7.474659400544959,37,1010
220,room,-8.030898909426254,9.275482093663912,3,1006
221,telephone,-8.033105198241792,6.6073992269464386,76,1104
222,draw,-8.039197712240949,6.748888888888889,15,435
223,stand,-8.058833686757808,6.898583569405099,5,98
224,long,-8.070229821488677,9.184527220630372,6,295
225,morning,-8.07309926391663,9.59080459770115,17,967
226,wash,-8.0748248898841,7.311456534254462,10,171
227,bite,-8.07540076090491,5.57258064516129,41,698
228,us,-8.087571296525166,9.681632653061225,3,614
229,tape,-8.107000815592313,8.031510107015459,16,419
230,after,-8.113562127529812,10.029922202274088,9,98
231,finger,-8.114160750714404,6.792814371257485,23,821
232,hot,-8.114160750714404,5.765868263473054,113,822
233,flower,-8.134730138962514,5.963325183374083,186,989
234,inside,-8.142092135403582,7.602216748768473,26,607
235,run,-8.158857507910193,8.1390106449593,17,276
236,light,-8.17209438570738,6.713832487309645,73,731
237,friend,-8.179098553150952,8.764856230031949,5,729
238,foot,-8.199105674198004,6.241199478487614,33,927
239,cheese,-8.212889942336849,7.02048909451421,99,802
240,before,-8.216200107557304,10.503315649867375,6,397
241,under,-8.218191478942229,7.209966777408638,13,85
242,cold,-8.223521271705577,6.649298597194389,56,801
243,old,-8.247863244374505,8.175906913073238,1,206
